Date,Tweet,City,Country,random #
Tue Mar 27 18:25:51 +0000 2018,"See that?! Yes, it’s still bloody daylight at the end of my evening run, woohoo!! Still in the throes of a bit of girl flu but the triple #ultramarathons are hurtling towards me at speed and they ain’t running themselves  ",none,none,0.922309974
Thu Apr 19 18:45:13 +0000 2018,"  Every time someone blaimes my OTP  for ratings, even tho every single episode has had the bird flu. Just like tonite, a Si…",none,none,0.832622528
Wed Mar 28 18:01:04 +0000 2018,On the blog today: Blogger Sarah shares some tips on how to stay happy and healthy this flu season!  ,none,none,0.871301859
Thu Apr 19 18:31:21 +0000 2018,Hi. Stomach flu is going around at the office and I'm really hoping I don't get it. Any recommendations to keep it away are welcome and appreciated.,none,none,0.66551311
Wed Mar 28 18:10:48 +0000 2018,  Fighting the flu friends but will be posting numerous Q memes with important facts to share. Also working on promoting key can…,none,none,0.397402613
Mon Apr 30 19:04:57 +0000 2018,"A Pathologist examined the remains of all the crows, and, to everyone's relief, confirmed the problem was NOT Avian Flu.  The cause of death appeared to be from vehicular impacts!",none,none,0.656215007
Sat Mar 31 22:18:10 +0000 2018,"  Flu season is still going strong and no matter how careful you are, you might still get sick. Learn what to do if you get the f…",none,none,0.760973891
Thu Apr 05 18:18:15 +0000 2018,  This man said the flu shot was what was making people sick and then he went missing ... smh ,none,none,0.739162971
Tue Apr 17 17:24:09 +0000 2018,  Look at this little face! &lt;3 Gainsford came to us with tummy issues and flu which has taken a while to resolve.  Now th…,none,none,0.466811807
Tue Apr 03 18:54:31 +0000 2018,"Flu creeping up on me. I deserve to be within cuddles, on a very warm chest",none,none,0.626803395
Thu Apr 05 18:38:59 +0000 2018,"Unlike ‘winter’, it appears #flu season is wrapping up in #Minnesota.  weekly report downgrades influenza cases as ‘Local’  No flu hospitalizations were logged in West Central MN. Only one was reported in NW MN. The official flu season runs thru the end of May.",none,US,0.507708738
Thu Apr 05 19:01:35 +0000 2018,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears ,none,none,0.510839343
Fri Apr 27 19:09:05 +0000 2018,  I never gave anyone permission to spray my air with chemicals. You also probably think mandatory flu shots &amp; vaccines are no problem either. At least we agree the Buckeyes are the best college football team. ,none,none,0.655281284
Thu Apr 26 18:41:03 +0000 2018,  Safer than a Flu Shot or an Antibiotic ,Milnerton,none,0.546237094
Tue Apr 03 19:02:42 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none,0.406104004
Thu Apr 05 19:08:21 +0000 2018,"I gave up meat for lent &amp; end up getting sick on Easter. Now im 5 days into the flu only eating soup , crackers &amp; fruit  imma lose so much weight I swear",none,none,0.393991419
Thu Apr 05 18:30:38 +0000 2018,"  This is the same brotha that said the “flu vaccine” and was actually giving people and the flu and killing them, he mysterio…",none,none,0.925386722
Fri Mar 30 19:17:57 +0000 2018,Universal flu vaccines are almost here #medtech               ,none,none,0.972017399
Thu Apr 19 18:27:22 +0000 2018,of big pussy lips adult flu hottest porn videos ever grany sexy how to give good blowjob video sex asian  ,none,none,0.83416115
Thu Apr 26 18:42:13 +0000 2018," Quick answer is I don't believe so. I would, however, just be paying attention to feeling ill, malaise, feverish, flu-like, etc, and let the doc know if you feel off.  It's important anyway in terms of watching out for rash and allergic reaction (which we've known about for ages)",none,none,0.547061158
Thu Apr 05 18:36:01 +0000 2018,"The child, &lt;2 yrs old, was taken to a doctor but he didn't need hospitalization and has fully recovered. #H1N2 #Flu",none,none,0.430544255
Tue Apr 17 16:37:39 +0000 2018,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…,none,none,0.358681675
